2019_08_29_15_20_41 u:966.238 , v:-7.38383 , y:-56.0779 ,z:4.73306
2019_08_29_15_41_10 u:10.8377 , v:-0.742231 , y:-0.649426 ,z:0.468187
2019_08_29_16_12_32 u:-702.418 , v:-513.83 , y:50.83 ,z:157.241
2019_08_29_16_18_23 u:8.94577 , v:-0.0299512 , y:-0.54076 ,z:0.31244
2019_08_29_16_18_57 u:10.3627 , v:0.876543 , y:-0.621463 ,z:0.125608
2019_08_29_16_29_03 u:10.4146 , v:0.460405 , y:-0.624632 ,z:0.213401
2019_08_29_17_07_27 u:21.7116 , v:2.47518 , y:-1.2699 ,z:-0.177581
2019_08_29_18_02_19 u:13.9067 , v:2.5533 , y:-0.823383 ,z:-0.216731
2019_08_29_18_04_08 u:13.2519 , v:2.71358 , y:-0.785841 ,z:-0.25231
2019_08_29_18_08_15 u:14.3167 , v:3.50209 , y:-0.846298 ,z:-0.414768
2019_08_29_18_10_44 u:14.0218 , v:3.30281 , y:-0.829546 ,z:-0.3738
2019_08_29_18_54_34 u:-3.5192 , v:2.71919 , y:0.173189 ,z:-0.302306
2019_08_30_15_36_50 u:36.7152 , v:1.44686 , y:-2.12952 ,z:0.0824621
2019_08_30_15_45_38 u:36.9533 , v:1.66036 , y:-2.14291 ,z:0.0382186
2019_08_30_15_58_03 u:36.7938 , v:2.18361 , y:-2.1332 ,z:-0.0723304
2019_08_30_15_59_29 u:-0.28097 , v:-0.430992 , y:-0.012615 ,z:0.370012
