P001,0,1686,80,42,140,90
P002,-5,1687,80,31,139,85
P003,-10,1689,79,22,136,81
P004,-13,1692,79,15,133,81
P005,-16,1696,78,9,129,82
P006,-18,1700,78,4,127,86
P007,-19,1705,78,0,126,90
P008,-18,1710,78,-4,127,94
P009,-16,1715,78,-9,129,98
P0010,-13,1718,79,-15,133,99
P0011,-9,1721,79,-22,136,99
P0012,-5,1723,80,-31,139,95
P0013,0,1724,80,-42,140,90
P0014,0,1729,80,-31.8495,143.718,88.1108
P0015,0,1734,80,-20.0289,146.427,87.9317
P0016,0,1739,80,-6.85413,147.869,89.1302
P0017,0,1744,80,6.85413,147.869,90.8698
P0018,0,1749,80,20.0289,146.427,92.0683
P0019,0,1754,80,31.8495,143.718,91.8892
P0020,-0,1759,80,42,140,90
P0021,-5,1760,80,31,139,85
P0022,-10,1762,79,22,136,81
P0023,-13,1765,79,15,133,81
P0024,-16,1769,78,9,129,82
P0025,-18,1773,78,4,127,86
P0026,-19,1778,78,0,126,90
P0027,-18,1783,78,-4,127,94
P0028,-16,1788,78,-9,129,98
P0029,-13,1791,79,-15,133,99
P0030,-9,1794,79,-22,136,99
P0031,-5,1796,80,-31,139,95
P0032,-0,1797,80,-42,140,90
P0033,0,1802,80,-31.8495,143.718,88.1108
P0034,0,1807,80,-20.0289,146.427,87.9317
P0035,0,1812,80,-6.85413,147.869,89.1302
P0036,0,1817,80,6.85413,147.869,90.8698
P0037,0,1822,80,20.0289,146.427,92.0683
P0038,0,1827,80,31.8495,143.718,91.8892
P0039,-0,1832,80,42,140,90
P0040,-5,1833,80,31,139,85
P0041,-10,1835,79,22,136,81
P0042,-13,1838,79,15,133,81
P0043,-16,1842,78,9,129,82
P0044,-18,1846,78,4,127,86
P0045,-19,1851,78,0,126,90
P0046,-18,1856,78,-4,127,94
P0047,-16,1861,78,-9,129,98
P0048,-13,1864,79,-15,133,99
P0049,-9,1867,79,-22,136,99
P0050,-5,1869,80,-31,139,95
P0051,-0,1870,80,-42,140,90
P0052,0,1875,80,-31.8495,143.718,88.1108
P0053,0,1880,80,-20.0289,146.427,87.9317
P0054,0,1885,80,-6.85413,147.869,89.1302
P0055,0,1890,80,6.85413,147.869,90.8698
P0056,0,1895,80,20.0289,146.427,92.0683
P0057,0,1900,80,31.8495,143.718,91.8892
P0058,-0,1905,80,42,140,90
P0059,-5,1906,80,31,139,85
P0060,-10,1908,79,22,136,81
P0061,-13,1911,79,15,133,81
P0062,-16,1915,78,9,129,82
P0063,-18,1919,78,4,127,86
P0064,-19,1924,78,0,126,90
P0065,-18,1929,78,-4,127,94
P0066,-16,1934,78,-9,129,98
P0067,-13,1937,79,-15,133,99
P0068,-9,1940,79,-22,136,99
P0069,-5,1942,80,-31,139,95
P0070,-0,1943,80,-42,140,90
P0071,0,1948,80,-31.8495,143.718,88.1108
P0072,0,1953,80,-20.0289,146.427,87.9317
P0073,0,1958,80,-6.85413,147.869,89.1302
P0074,0,1963,80,6.85413,147.869,90.8698
P0075,0,1968,80,20.0289,146.427,92.0683
P0076,0,1973,80,31.8495,143.718,91.8892
P0077,-0,1978,80,42,140,90
P0078,-5,1979,80,31,139,85
P0079,-10,1981,79,22,136,81
P0080,-13,1984,79,15,133,81
P0081,-16,1988,78,9,129,82
P0082,-18,1992,78,4,127,86
P0083,-19,1997,78,0,126,90
P0084,-18,2002,78,-4,127,94
P0085,-16,2007,78,-9,129,98
P0086,-13,2010,79,-15,133,99
P0087,-9,2013,79,-22,136,99
P0088,-5,2015,80,-31,139,95
P0089,-0,2016,80,-42,140,90
